Phi,V
0.0,-3.0200062108019776
0.022609130064506374,-3.0207857754390615
0.04521826012901275,-3.0220199416439137
0.06782739019351912,-3.0230841810647693
0.0904365202580255,-3.0260514992579015
0.11304565032253187,-3.033282374886629
0.13565478038703824,-3.044474129981226
0.15826391045154461,-3.0585994628845454
0.180873040516051,-3.075228636858719
0.20348217058055737,-3.093441446586833
0.22609130064506375,-3.112585513968615
0.24870043070957012,-3.1322910413578104
0.2713095607740765,-3.1523831348517315
0.29391869083858285,-3.1727639845687245
0.31652782090308923,-3.1933130822824496
0.3391369509675956,-3.2140873787716964
0.361746081032102,-3.2351076882546477
0.38435521109660836,-3.2557090796126356
0.40696434116111474,-3.2754802405324446
0.4295734712256211,-3.2938708554157627
0.4521826012901275,-3.3082895391669784
0.4747917313546339,-3.322380902206205
0.49740086141914025,-3.3441561564981077
0.5200099914836466,-3.374988344858265
0.542619121548153,-3.414707221181776
0.5652282516126593,-3.4659100474739986
0.5878373816771657,-3.530890724444476
0.6104465117416721,-3.6108048447230754
0.6330556418061785,-3.707221583102831
0.6556647718706848,-3.822112971127097
0.6782739019351912,-3.9565988734871045
0.7008830319996976,-4.110209712158283
0.723492162064204,-4.281279016063635
0.7461012921287103,-4.468116529349766
0.7687104221932167,-4.670120694503111
0.7913195522577231,-4.88801039436076
0.8139286823222295,-5.123059528824971
0.8365378123867359,-5.37608020277486
0.8591469424512422,-5.647040374248034
0.8817560725157486,-5.935500825804062
0.904365202580255,-6.241289870990339
0.9269743326447614,-6.5647270465710985
0.9495834627092677,-6.906236367473442
0.9721925927737741,-7.265791699779805
0.9948017228382805,-7.642776124305706
1.0174108529027868,-8.036397569355259
1.0400199829672931,-8.44621778460174
1.0626291130317995,-8.872251800175555
1.085238243096306,-9.314573246978476
1.1078473731608123,-9.772832494127625
1.1304565032253187,-10.24608244542637
1.153065633289825,-10.73297330859786
1.1756747633543314,-11.232121240036099
1.1982838934188378,-11.742407489663442
1.2208930234833442,-12.263061490658218
1.2435021535478505,-12.793557438330945
1.266111283612357,-13.333432563062079
1.2887204136768633,-13.882030285855436
1.3113295437413697,-14.438239354378313
1.333938673805876,-15.000592194920063
1.3565478038703824,-15.567957054251917
1.3791569339348888,-16.140433191312074
1.4017660639993952,-16.719688059321392
1.4243751940639016,-17.308283908330043
1.446984324128408,-17.908276683797606
1.4695934541929143,-18.519998550975288
1.4922025842574207,-19.141952024933598
1.5148117143219268,-19.77202972962037
1.5374208443864332,-20.409314713567237
1.5600299744509396,-21.055211182657455
1.582639104515446,-21.71291476207703
1.6052482345799524,-22.385124428183214
1.6278573646444587,-23.071267826135514
1.6504664947089651,-23.76717372919675
1.6730756247734715,-24.470158961687904
1.6956847548379779,-25.18532966473361
1.7182938849024842,-25.919366419685925
1.7409030149669906,-26.6709431941487
1.763512145031497,-27.43637844094838
1.7861212750960034,-28.208744471740044
1.8087304051605098,-28.979200616889745
1.8313395352250161,-29.743769832242247
1.8539486652895225,-30.50701965620216
1.876557795354029,-31.241431995845492
1.8991669254185353,-31.966290368434052
1.9217760554830416,-32.66450806075584
1.944385185547548,-33.28587258685287
1.9669943156120544,-31.37530684492852
1.9896034456765608,-24.848272318087766
2.012212575741067,-16.84138807983942
2.0348217058055735,-10.621845585113002
2.05743083587008,-7.395654022450853
2.0800399659345863,-5.936462201372239
2.1026490959990927,-5.2019564332778065
2.125258226063599,-4.731488305247454
2.1478673561281054,-4.37437473755886
2.170476486192612,-4.093670289941915
2.193085616257118,-3.8912516612350747
2.2156947463216246,-3.7812525500635976
2.238303876386131,-3.753774631972205
