Phi,V
0.0,-2.999782551175364
0.02725344197328908,-3.000879763739571
0.05450688394657816,-3.004233076325389
0.08176032591986725,-3.0098281291201694
0.10901376789315632,-3.017632868443694
0.13626720986644542,-3.0276280661372263
0.1635206518397345,-3.0398324513539503
0.19077409381302357,-3.054316233059587
0.21802753578631265,-3.071189391564926
0.24528097775960173,-3.090533981370873
0.27253441973289083,-3.1122589046889844
0.2997878617061799,-3.1359706576154593
0.327041303679469,-3.1610831829837447
0.35429474565275804,-3.187195491707956
0.38154818762604714,-3.21435167391351
0.4088016295993362,-3.2428340032345546
0.4360550715726253,-3.27269055834522
0.4633085135459144,-3.3034902421381958
0.49056195551920345,-3.3344276717321284
0.5178153974924925,-3.3645221525419724
0.5450688394657817,-3.3927421460578433
0.5723222814390707,-3.4180689029290896
0.5995757234123598,-3.439542498819674
0.6268291653856488,-3.4563027117238874
0.654082607358938,-3.4676189616672612
0.681336049332227,-3.4729001902309045
0.7085894913055161,-3.471683151015342
0.7358429332788052,-3.4637006832131303
0.7630963752520943,-3.449065792241325
0.7903498172253833,-3.4283222883064366
0.8176032591986724,-3.4024672466360797
0.8448567011719615,-3.3729940231833715
0.8721101431452506,-3.3419628040199023
0.8993635851185396,-3.3120951116622375
0.9266170270918288,-3.286865833940978
0.9538704690651179,-3.27054355690745
0.9811239110384069,-3.268148869009358
1.008377353011696,-3.2853794363145745
1.035630794984985,-3.3285680056286764
1.062884236958274,-3.4047705064494975
1.0901376789315633,-3.522102546304186
1.1173911209048524,-3.689585380991364
1.1446445628781414,-3.9171765457653245
1.1718980048514305,-4.2160365184881154
1.1991514468247195,-4.597983855925962
1.2264048887980086,-5.076011410789382
1.2536583307712976,-5.664048609857908
1.280911772744587,-6.3766849055571555
1.308165214717876,-7.229899696715445
1.335418656691165,-8.239999356788111
1.362672098664454,-9.423699222199257
1.389925540637743,-10.798102871733407
1.4171789826110321,-12.3801414878324
1.4444324245843214,-14.184918993402405
1.4716858665576105,-16.22610553025658
1.4989393085308995,-18.516460691318766
1.5261927505041886,-21.064979486506864
1.5534461924774776,-23.876784276623354
1.5806996344507667,-26.955997091944294
1.6079530764240557,-30.306408484113643
1.635206518397345,-33.929692714974294
1.662459960370634,-37.82371035535112
1.689713402343923,-41.98309442480267
1.7169668443172121,-46.40346820764955
1.7442202862905012,-51.08589810020549
1.7714737282637902,-56.03341490395962
1.7987271702370793,-61.24562642361936
1.8259806122103686,-66.72628233567097
1.8532340541836576,-72.4842078718499
1.8804874961569467,-78.52305394833523
1.9077409381302357,-84.84465865246689
1.9349943801035248,-91.45223374267187
1.9622478220768138,-98.34991698289676
1.9895012640501029,-105.52972359221289
2.016754706023392,-112.99212769405344
2.044008147996681,-120.73508906592961
2.07126158996997,-128.7444958851006
2.098515031943259,-137.02195096268005
2.1257684739165486,-145.5343601395398
2.1530219158898376,-154.24324217764945
2.1802753578631267,-163.09533755557948
2.2075287998364157,-171.966307156977
2.2347822418097048,-180.7370798906113
2.262035683782994,-189.247697420445
2.289289125756283,-197.22617831560333
2.316542567729572,-204.2711540777204
2.343796009702861,-209.8744643960643
2.37104945167615,-213.4944203627547
2.398302893649439,-214.70586911746983
2.425556335622728,-213.0858871904962
2.452809777596017,-204.41339361579927
2.480063219569306,-207.08239497108622
2.5073166615425957,-194.92382119192203
2.5345701035158847,-136.27167951583075
2.561823545489174,-77.08086898371862
2.589076987462463,-123.3621832741936
2.616330429435752,-0.10357564917901385
2.643583871409041,53.210490082400234
2.67083731338233,-177.2988672693369
2.698090755355619,-283.6727295161109
