Phi,V,DV,DDV
0.0,-2.999782551175364,0.0009122916102541865,-2.999567516137463
0.027486710012153255,-3.000898887268484,-0.08233584659598414,-3.043070244648091
0.05497342002430651,-3.0043100803124068,-0.1657591206724819,-3.019414737551787
0.08246013003645977,-3.010001029123968,-0.2481093095575462,-2.9723586046435297
0.10994684004861302,-3.0179388825620115,-0.32933778150597354,-2.9444761575713945
0.13743355006076627,-3.028104803440044,-0.41047832374221116,-2.9707818197760623
0.16492026007291954,-3.0405199191830174,-0.49333299246090145,-3.070426800250416
0.1924069700850728,-3.0552587225409065,-0.5798290805018405,-3.228495750417806
0.21989368009722604,-3.072434848697338,-0.6705205771992507,-3.349744192359093
0.2473803901093793,-3.0921259192146033,-0.7616646201783527,-3.217910031515837
0.27486710012153254,-3.1142185127218465,-0.843167467818132,-2.63600086906399
0.3023538101336858,-3.138284249185003,-0.903977498779597,-1.7879806501199824
0.3298405201458391,-3.163722096131321,-0.9445124657188237,-1.264625153722768
0.35732723015799234,-3.1901607713503024,-0.9799651630156088,-1.4177098199341007
0.3848139401701456,-3.217689897149748,-1.0252039739741052,-1.8586710024022428
0.41230065018229883,-3.246594597954898,-1.0780560236777577,-1.8723327432084873
0.4397873601944521,-3.2768678583190414,-1.1215234762216546,-1.1837379941889723
0.46727407020660533,-3.3080054241112045,-1.1387588054834812,-0.01804705168307603
0.4947607802187586,-3.3391448049616814,-1.1207702319276631,1.3435579368598893
0.5222474902309119,-3.369266355167067,-1.0644890296092893,2.7521171229577277
0.5497342002430651,-3.3973105046599295,-0.9697489130273824,4.131261923504928
0.5772209102552184,-3.422239155131874,-0.8382154329690779,5.419297671342548
0.6047076202673716,-3.443082719201521,-0.6731819014473488,6.560535060781813
0.6321943302795249,-3.4589814205858733,-0.47926513308751145,7.516761297541207
0.6596810402916782,-3.4692133130603633,-0.26173659706299446,8.280308621788958
0.6871677503038314,-3.4731997412565394,-0.025587303849918166,8.879009490883854
0.7146544603159847,-3.470494287364772,0.2238234069505969,9.178317149561131
